ip,user_agent,video,start_time,end_time,duration_seconds
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-21 19:06:47,2026-08-21 19:06:47,49
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,2026-08-21 19:06:47,2026-08-21 19:06:47,0
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 14:04:17,2026-08-22 14:04:17,10
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,2026-08-22 14:04:17,2026-08-22 14:04:17,0
127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 14:07:52,2026-08-22 14:07:52,6
127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,2026-08-22 14:07:52,2026-08-22 14:07:52,0
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 14:08:29,2026-08-22 14:08:29,7
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,2026-08-22 14:08:29,2026-08-22 14:08:29,0
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 14:32:42,2026-08-22 14:32:42,8
10.3.3.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,2026-08-22 14:32:42,2026-08-22 14:32:42,0
10.3.2.50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 14:34:54,2026-08-22 14:34:54,33
10.3.2.50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,2026-08-22 14:34:54,2026-08-22 14:34:54,0
10.3.3.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 15:59:39,2026-08-22 15:59:39,320
10.3.3.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",,2026-08-22 15:59:39,2026-08-22 15:59:39,0
10.3.3.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",videos/interview_ai_2026_ep1.mp4,2026-08-22 16:00:37,2026-08-22 16:00:37,48
10.3.3.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",,2026-08-22 16:00:37,2026-08-22 16:00:37,0
